obj_id,species,speciesMatched,uuid,ifungorum_number,trait_name,value
Treseder_etal_2016_1829,Peltigera_leucophlebia,Peltigera leucophlebia,d6b31a7a-bb28-4d3e-b52b-d87a5280b62d,399318,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1830,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,-0.402035848020833
Treseder_etal_2016_1831,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,0
Treseder_etal_2016_1832,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,0
Treseder_etal_2016_1833,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1834,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1835,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1837,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,0
Treseder_etal_2016_1838,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1840,Peltigera_malacea,Peltigera malacea,4b256f36-695d-4f2e-84b0-1fbf30bffd24,399323,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1847,Penicillium_atrovenetum,Penicillium atrovenetum,03eff75b-10b0-46a5-b5b7-a04d84289dbe,302377,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1851,Penicillium_atrovenetum,Penicillium atrovenetum,03eff75b-10b0-46a5-b5b7-a04d84289dbe,302377,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1856,Penicillium_lividum,Penicillium lividum,1cb1b58c-36b9-11d5-9548-00d0592d548c,178817,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1857,Penicillium_melinii,Penicillium melinii,1cb1b591-36b9-11d5-9548-00d0592d548c,270876,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1858,Penicillium_pinophilum,Talaromyces pinophilus,771e3b37-4882-4fe5-8a59-46a7fb51b4ba,560662,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1862,Penicillium_soppii,Penicillium miczynskii,28a690a2-20e8-4d69-b027-c9d69440bb63,271171,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1864,Penicillium_swiecickii,Penicillium swiecickii,e2d437b3-069e-4b08-a3b8-a4ee3b17558d,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1865,Penicillium_thomii,Penicillium thomii,1cb1b59d-36b9-11d5-9548-00d0592d548c,202819,Cohens_d_Cellulose,0
Treseder_etal_2016_1866,Penicillium_thomii,Penicillium thomii,1cb1b59d-36b9-11d5-9548-00d0592d548c,202819,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1868,Peniophorella_pertenuis,Peniophorella praetermissa,df89f43b-0323-4523-9a2b-d9b97650abe5,510167,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1871,Peniophorella_pertenuis,Peniophorella praetermissa,df89f43b-0323-4523-9a2b-d9b97650abe5,510167,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1879,Phacidium_lacerum,Phacidium lacerum,1cb19880-36b9-11d5-9548-00d0592d548c,183563,Cohens_d_Cellulose,1.46059348668044
Treseder_etal_2016_1881,Phacidium_lacerum,Phacidium lacerum,1cb19880-36b9-11d5-9548-00d0592d548c,183563,Cohens_d_Cellulose,0.402035848020833
Treseder_etal_2016_1889,Phacidium_lacerum,Phacidium lacerum,1cb19880-36b9-11d5-9548-00d0592d548c,183563,Cohens_d_Cellulose,-0.894427190999916
