"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"60","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Chaetomella","Chaetomella_raphigera","54ca42e1f76e7ecd1104b2f74aa5db4a"
"61","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","93898ded4addad7367af5e76cb8c6449"
"62","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum","Geoglossum_nigritum","5f15b45cce03212a6a89870283fa2521"
"63","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride","a6547d93549ab37d285a98361f50349b"
"64","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_queletii","81b77df4385629aeedc93d9473a7f4f5"
"65","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"6d397ca77f4d02a72976ed4af00cacde"
"66","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","unidentified","unidentified","unidentified","53728363e9f2acdaf2a1108b446338c7"
"67","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum_geophilum","0b3dd03b34ca4a2e6caeff794c988ed1"
"68","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","9f213305c207d32e9080630a477b96f3"
"69","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"8ad92cc63008f178b18c14cf940384ff"
"70","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Hoehnelomycetaceae","Atractiella","Atractiella_rhizophila","c112b540a35ee1639e7b77122be3db83"
"71","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_neocosmosporiellum","fc273d85bc88f826b9ba55a08f55439c"
"72","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","1e63f9dcc607f30c195f688dca314e23"
"73","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","874c60c5a086479ab66b178f5a858e19"
"74","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cyanoxantha","dad5cf04b4dee92566f072720cdfa448"
"75","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"ba2736f4a01c49789e93d68d9d72b07d"
"76","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Amphinema","unidentified","76e9860513b9ddcaa39171e89d1763c3"
"77","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","unidentified","unidentified","03859d009dcf0c4203f3375569caf5ed"
"78","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cyanoxantha","7235c4ba72e60a1225ee66f4656f2897"
"79","Fungi","Basidiomycota","Agaricomycetes","unidentified","unidentified","unidentified","unidentified","c7911fd077df784c62aea33b3f78f092"
"80","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia","unidentified","78166d7152062072993ea0e5a956d768"
"81","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"ea780e6b8c3c750ddc5cd8cba32a4cfa"
"82","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"82859643a0058af608970e59abbd634c"
"83","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"fec61cbe37b0041f8c03c05c15451f08"
"84","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Amphinema","unidentified","f098a1d0be9c1089f7c5907b5649655f"
"85","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","unidentified","21cfcabfd0e4299715fe8299b28019a5"
"86","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria_zollingeri","cb459d4bb2101bfff6bd02a0bbb3c3a7"
"87","Fungi","Ascomycota",NA,NA,NA,NA,NA,"d4e51cc888c88c62d1648384f2563f2e"
"88","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_spirale","a12d63630cf0dbd72c4c483e56d4a2b5"
"89","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_humicola","df269d5dd68258dcc09b2db96537cb9c"
"90","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Amphinema","unidentified","0dfe6eb5428606a30b55e5a99e46493d"
"91","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_portentosum","c38080c01d5869526154299c29c35111"
"92","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cyanoxantha","db4a48a999a41fbb32550e8d9df3a693"
"93","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium_anisopliae","1aa42fdcf935ee7cc24d7d2b08271db7"
"94","Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Phallus",NA,"e6e2dfef43bbb17c63aff66d1dfc6dd6"
"95","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_populiphila","4433c409716d70b47a12c07469f65da1"
"96","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Cuphophyllus","Cuphophyllus_virgineus","09af6f3c32f24007f8d6bd5d447fedba"
"97","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","c2fe54b21a16a047c979b948e2a8c443"
"98","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unidentified","unidentified","unidentified","6efa0bc4109a9ca8a59af27ba4ecbce8"
"99","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","unidentified","unidentified","unidentified","e6918bd807b372e7fe02ab7d6bec33e3"
"100","Fungi","Ascomycota",NA,NA,NA,NA,NA,"4200eea84327441e386a725ced7f38fe"
"101","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis",NA,NA,"05e3d3518fe3cbdfc69d261f1c808d56"
"102","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","unidentified","d5cb6ea3dc75f61552e4b758b5d486d5"
"103","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_crustosa","2f596f67f59a3590e3537982cddf66d1"
"104","Fungi","Ascomycota",NA,NA,NA,NA,NA,"c50f1c35ec917eeaf276eaf76c6f6a80"
"105","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","unidentified","de066b96e699325d0bb5a3e9886fc053"
"106","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia_lateralis","3bbcff63bbe4c9b9abedc47e0be2e7b7"
"107","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta_ellipsoidea","2a96cf671fbc47b4afe940b03f68d897"
"108","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia_acadiensis","3f52dcc50973b92fcbb4d01d2251d50e"
"109","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"64d6864e98b304d7c80357ea38bee245"
