sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
FOJ05,FOJ,Annual,5,362,1 year,5,7,946,955,116.6092032,0.991424348,5.879806256,175.4158232,76,0.911509025,0.858084955,0.123265543,0.435590756,0.529638671,0.049208086,0.08916849,1889,0.049208086,0.008575652,0.426435344,0.981577458,2.026942758,0.480254246,0.507971241
FOJ06,FOJ,Annual,6,362,1 year,6,9,1264,1283.184211,338.896634,0.997049248,6.534193536,254.0708975,177,0.747066966,0.914892197,0.268114426,0.488440627,0.601792007,0.019823668,0.033349762,724,0.019823668,0.002950752,0.235392366,0.969601195,2.029579816,0.660505996,0.701029516
FOJ07,FOJ,Annual,7,362,1 year,6,8,1632,1672.047619,319.7371762,0.996872431,6.671070936,320.6199937,202,0.748540373,0.901793233,0.195917387,0.43118187,0.581640933,0.023496676,0.038240068,1216,0.023496676,0.003127569,0.270733498,0.963390547,2.027519096,0.688572422,0.668051476
FOJ08,FOJ,Annual,8,362,1 year,5,7,977,983.75,177.1742783,0.99435584,6.089389423,190.2737305,100,0.865616441,0.884508857,0.181345218,0.4584059,0.56192064,0.033653996,0.058622085,1081,0.033653996,0.00564416,0.389184646,0.979060445,2.036206393,0.522026089,0.542199807
FOJ09,FOJ,Annual,9,362,1 year,5,6,1602,1625.765625,304.1732727,0.9967124,6.607460051,310.7922175,176,0.733926975,0.895440137,0.189870957,0.451161831,0.571662585,0.016870621,0.031854274,903,0.016870621,0.0032876,0.293563755,0.965048679,2.029343627,0.645380663,0.649117235
FOJ10,FOJ,Annual,10,362,1 year,5,7,1138,1148.083333,166.7344841,0.99400244,6.212218715,219.3414918,120,0.905712429,0.882790157,0.146515364,0.463451507,0.565919566,0.04905699,0.073419147,1917,0.04905699,0.00599756,0.230135374,0.975560982,2.029120203,0.574532334,0.708063567
FOJ11,FOJ,Maintenance,11,460,1 year,8,9,1445,1484.446429,311.6867572,0.996791651,6.592458454,284.170432,188,0.74748251,0.906072174,0.215700178,0.452150777,0.593683699,0.022703864,0.042580702,1036,0.022703864,0.003208349,0.267603165,0.966518419,2.028628985,0.66417567,0.663737372
FOJ12,FOJ,Maintenance,12,460,1 year,8,9,1214,1241.112903,276.5434038,0.996383931,6.391494241,236.1608093,145,0.768267099,0.89999801,0.227795225,0.423306734,0.581096998,0.017405182,0.033513702,698,0.017405182,0.003616069,0.322469641,0.97300935,2.02731751,0.602423759,0.608059247
FOJ13,FOJ,Maintenance,13,460,1 year,7,9,1205,1223.512821,302.2972933,0.996691998,6.418089455,233.8171718,148,0.821114328,0.904690864,0.250869123,0.420596044,0.580834255,0.01829526,0.03432847,736,0.01829526,0.003308002,0.296229088,0.972936133,2.026576895,0.592110169,0.642422133
FOJ14,FOJ,Maintenance,14,460,1 year,7,8,1308,1342.913793,263.0016421,0.996197742,6.444299611,259.9469115,156,0.73790323,0.898003211,0.201071592,0.44772487,0.580019184,0.024061063,0.043092554,952,0.024061063,0.003802258,0.315144316,0.970801005,2.036756426,0.616514179,0.611888996
FOJ15,FOJ,Maintenance,15,460,1 year,8,10,1121,1131,217.3938566,0.995400054,6.240690429,214.6245601,120,0.875392829,0.888737024,0.193928507,0.452976716,0.558794008,0.023207657,0.04598601,919,0.023207657,0.004599946,0.343695548,0.976104951,2.020020473,0.564610217,0.59034319
FOJ16,FOJ,Maintenance,16,460,1 year,7,10,1447,1471.328947,291.9963907,0.9965753,6.60003546,288.1857256,195,0.77719896,0.906941155,0.201794327,0.46032368,0.598948945,0.030534879,0.046413016,1325,0.030534879,0.0034247,0.264420529,0.966071041,2.029471591,0.676399419,0.680109695
FOJ17,FOJ,Maintenance,17,460,1 year,6,8,1051,1070.184211,213.82682,0.995323318,6.218535959,204.1102561,120,0.877335082,0.893789193,0.203450828,0.454290329,0.577296139,0.025971054,0.050683599,908,0.025971054,0.004676682,0.347634575,0.97669999,2.032916882,0.552085121,0.579057262
