"","ASVs","Genus.x","guild.x","DL01","DL02","DL03","DL04","DL05","DL06","DL07","DL08","DL09","DL10","DL11","DL12","DL13","DL14","DL15","DL16","DL17","DL18","DL19","DL20","FOJ01","FOJ02","FOJ03","FOJ04","FOJ05","FOJ06","FOJ07","FOJ08","FOJ09","FOJ10","FOJ11","FOJ12","FOJ13","FOJ14","FOJ15","FOJ16","FOJ17","FOJ18","FOJ19","FOJ20","TOA01","TOA02","TOA03","TOA04","TOA05","TOA06","TOA07","TOA08","TOA09","TOA10","TOA11","TOA12","TOA13","TOA14","TOA15","TOA16","TOA17","TOA18","TOA19","TOA20","Genus","guild.y"
"423","ef52a0994f3112787d22ac4f2b9b88b2",NA,NA,0,0,0,0,398,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,9,72,596,15,0,7,NA,NA
"424","2a430ec1492e8d881662d013c8868041","Sagenomella","unspecified_saprotroph",0,0,0,0,18,0,0,0,0,79,0,0,0,31,0,20,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,209,0,144,0,0,0,0,0,0,392,48,0,0,0,0,0,0,0,"Sagenomella","unspecified_saprotroph"
"425","6e849869a43678bc350f891242d0cb86",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"426","acaa59174a9a857070aeb4dfca2009aa","Sebacina","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,305,0,0,0,0,0,0,0,0,0,"Sebacina","ectomycorrhizal"
"427","6a7e855f6f4d15f6cd9f500a555c049f","Russula","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Russula","ectomycorrhizal"
"428","eb25cb941dbe90e1249aed68af2c1c28","unidentified",NA,0,0,0,0,0,0,0,0,42,0,0,0,0,6,64,0,0,0,0,0,0,79,0,16,6,6,31,37,27,68,7,43,65,441,0,17,21,9,0,16,5,0,26,0,0,4,0,17,0,6,0,0,0,11,61,0,0,3,0,0,"unidentified",NA
"429","cb3c4ef45111453556d738a9d5accd3f",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,105,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA
"430","1c7039c8da4ba14ac027e2cbac10bcfe","Cenococcum","ectomycorrhizal",0,0,0,0,15,237,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,289,60,0,0,219,0,0,32,46,0,64,29,52,0,0,0,0,0,"Cenococcum","ectomycorrhizal"
"431","e0c91923fe3f87697327908ffc6024db",NA,NA,0,0,0,0,108,0,73,31,0,0,0,0,0,57,277,0,0,347,0,0,0,29,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,133,0,0,11,0,0,NA,NA
"432","831f2fe0b2ffcd24a237cd6ae3cea127","Inocybe","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inocybe","ectomycorrhizal"
